City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
kapit,97,MY,1627242358,99,2.0167,112.9333,74.43,0.6
middelburg,0,ZA,1627242359,46,-25.7751,29.4648,42.67,2.24
mount gambier,75,AU,1627242359,100,-37.8333,140.7667,49.91,11.5
nizhniy odes,100,RU,1627242359,84,63.6445,54.856,49.66,4.41
nantucket,90,US,1627242359,78,41.2835,-70.0995,71.71,17.27
wajid,100,SO,1627242360,61,3.8093,43.2471,73.83,22.7
sheridan,1,US,1627242293,20,44.8333,-106.9173,96.03,3.0
provideniya,90,RU,1627242360,100,64.3833,-173.3,46.51,4.47
lock haven,26,US,1627242360,49,41.137,-77.4469,91.96,5.44
saint-joseph,27,RE,1627242361,76,-21.3667,55.6167,68.36,12.15
havre-saint-pierre,1,CA,1627242361,57,50.2334,-63.5986,75.56,11.5
erenhot,100,CN,1627242361,72,43.6475,111.9767,63.25,21.32
mokhsogollokh,3,RU,1627242362,82,61.4681,128.9203,56.07,4.25
wenling,100,CN,1627242362,88,28.3669,121.36,78.66,16.28
kabwe,0,ZM,1627242362,52,-14.4469,28.4464,54.07,8.7
klaksvik,100,FO,1627242363,94,62.2266,-6.589,52.72,10.04
padang,33,ID,1627242363,86,-0.9492,100.3543,77.56,3.38
nishihara,75,JP,1627242363,94,26.1842,127.7558,80.26,11.5
boueni,70,YT,1627242364,63,-12.9025,45.0761,76.98,13.51
havoysund,100,NO,1627242364,74,70.9963,24.6622,47.28,7.45
yima,0,CN,1627242364,85,34.7381,111.8839,73.44,1.7
uarini,100,BR,1627242365,58,-2.99,-65.1083,87.75,1.45
port-gentil,75,GA,1627242154,78,-0.7193,8.7815,76.96,6.91
labuan,20,MY,1627242365,94,5.2767,115.2417,79.16,1.01
neiafu,40,TO,1627242365,94,-18.65,-173.9833,74.08,0.0
poya,7,NC,1627242365,90,-21.35,165.15,65.86,1.19
hami,0,CN,1627242366,19,42.8,93.45,85.69,8.93
xai-xai,22,MZ,1627242366,75,-25.0519,33.6442,61.18,6.38
aksu,0,CN,1627242366,26,41.1231,80.2644,85.26,2.8
tadepallegudem,93,IN,1627242367,79,16.8333,81.5,81.43,6.26
sandwick,0,GB,1627242367,88,60.0,-1.25,58.82,14.97
ruteng,30,ID,1627242367,52,-8.6136,120.4721,56.25,1.14
guerrero negro,85,MX,1627242367,56,27.9769,-114.0611,78.66,11.68
ostrovnoy,100,RU,1627242068,90,68.0531,39.5131,45.79,16.26
pacureti,0,RO,1627242368,84,45.15,26.1333,67.71,4.36
shimoda,9,JP,1627242368,87,34.6667,138.95,74.1,7.74
san patricio,0,US,1627242102,42,28.017,-97.5169,95.09,13.87
celestun,95,MX,1627242368,64,20.8667,-90.4,86.54,12.95
sorong,100,ID,1627242369,87,-0.8833,131.25,77.11,8.99
skjervoy,100,NO,1627242369,97,70.0311,20.9714,51.8,3.38
kerouane,100,GN,1627242369,94,9.2667,-9.0167,70.56,1.41
tiznit,0,MA,1627242370,36,29.5833,-9.5,80.24,4.09
erdenet,32,MN,1627242370,82,49.0333,104.0833,52.79,5.93
mporokoso,36,ZM,1627242370,58,-9.3727,30.125,53.26,9.48
buala,24,SB,1627242370,84,-8.145,159.5921,79.3,7.25
nemuro,0,JP,1627242371,92,43.3236,145.575,61.74,4.88
benalla,100,AU,1627242371,98,-36.55,145.9833,49.75,6.04
chimoio,75,MZ,1627242371,71,-19.1164,33.4833,57.06,5.57
the valley,75,AI,1627242372,84,18.217,-63.0578,84.81,17.27
komsomolskiy,0,UZ,1627242372,32,40.4272,71.7189,83.12,9.22
deputatskiy,5,RU,1627242372,71,69.3,139.9,46.22,3.04
dunedin,100,NZ,1627242133,84,-45.8742,170.5036,47.01,9.78
tuatapere,100,NZ,1627242373,95,-46.1333,167.6833,46.81,4.74
silao,8,MX,1627242373,36,20.9333,-101.4333,80.49,3.51
faya,100,SA,1627242373,78,18.3851,42.4509,66.31,4.76
samarai,100,PG,1627242374,78,-10.6167,150.6667,78.3,14.52
svetlaya,57,RU,1627242374,87,46.5389,138.3297,68.97,6.06
berlevag,75,NO,1627242374,87,70.8578,29.0864,46.4,23.02
voyvozh,46,RU,1627242375,88,62.892,54.9635,46.24,5.23
bowen,61,AU,1627242375,70,-20.0167,148.2333,41.22,6.13
olinda,75,BR,1627242375,88,-8.0089,-34.8553,73.13,14.97
henties bay,51,NA,1627242375,34,-22.116,14.2845,70.32,9.4
gat,1,IL,1627242376,78,31.61,34.7642,82.81,7.27
vao,54,NC,1627242376,70,-22.6667,167.4833,71.38,15.75
kodiak,90,US,1627242338,93,57.79,-152.4072,49.51,6.91
grabovo,64,RU,1627242376,62,53.3875,45.064,60.46,0.96
saldanha,100,ZA,1627242376,50,-33.0117,17.9442,59.05,12.41
port lavaca,1,US,1627242377,54,28.615,-96.6261,95.31,5.75
miri,20,MY,1627242377,94,4.4148,114.0089,82.54,2.3
eldorado,0,BR,1627242377,36,-23.7869,-54.2836,83.57,5.46
tahoua,87,NE,1627242105,54,14.8888,5.2692,87.22,4.47
erie,0,US,1627242378,69,42.7667,-78.6664,84.25,7.0
carutapera,99,BR,1627242113,73,-1.195,-46.02,81.16,8.19
ponta delgada,40,PT,1627242378,78,37.7333,-25.6667,72.32,14.97
villa maria,0,AR,1627242378,45,-32.4075,-63.2402,63.61,11.3
constitucion,26,CL,1627242378,86,-35.3333,-72.4167,53.65,9.13
bairnsdale,85,AU,1627242379,71,-37.8333,147.6167,53.71,1.01
narsaq,42,GL,1627242103,53,60.9167,-46.05,59.22,4.36
flinders,0,AU,1627242379,65,-34.5833,150.8552,55.26,5.01
carnarvon,0,AU,1627242380,74,-24.8667,113.6333,53.67,5.75
zyryanka,100,RU,1627242380,72,65.75,150.85,45.64,16.6
lompoc,40,US,1627242351,69,34.6391,-120.4579,87.01,4.0
wilkie,69,CA,1627242380,32,52.4168,-108.7014,62.98,10.04
kayes,100,ML,1627242380,65,14.0,-11.0,84.36,7.29
launceston,64,AU,1627242381,86,-41.45,147.1667,45.81,4.0
byron bay,0,AU,1627242381,60,-28.65,153.6167,48.7,5.73
abu zabad,100,SD,1627242381,75,12.35,29.25,77.59,9.66
londoko,100,RU,1627242382,99,49.0333,131.9833,67.98,3.49
warrnambool,92,AU,1627242382,91,-38.3833,142.4833,51.82,17.65
coihaique,40,CL,1627242172,53,-45.5752,-72.0662,44.55,5.75
victoria,16,HK,1627242140,83,22.2855,114.1577,86.38,1.01
iqaluit,75,CA,1627242382,93,63.7506,-68.5145,47.93,2.3
barao de melgaco,1,BR,1627242383,17,-16.1944,-55.9675,95.52,6.15
hegra,20,NO,1627242383,68,63.4644,11.114,69.71,2.3
nizhniye sergi,14,RU,1627242383,74,56.6614,59.3033,46.08,1.77
povenets,98,RU,1627242384,69,62.8487,34.8262,60.76,3.33
san andres,20,CO,1627242384,79,12.5847,-81.7006,86.02,12.66
callaway,1,US,1627242384,53,30.153,-85.5699,95.92,1.99
jizan,100,SA,1627242385,80,17.3333,42.6667,79.74,5.95
boa vista,75,BR,1627242385,55,2.8197,-60.6733,87.78,4.61
vanimo,100,PG,1627242385,81,-2.6741,141.3028,75.42,2.59
pyra,58,RU,1627242385,52,56.2953,43.3527,61.34,2.01
meiktila,100,MM,1627242386,89,20.8667,95.8667,75.96,10.6
panzhihua,76,CN,1627242386,91,26.5851,101.7128,68.72,1.52
ierapetra,0,GR,1627242387,72,35.01,25.7353,77.18,15.97
manzil salim,43,TN,1627242387,26,35.8567,8.4765,95.0,6.49
ilmenau,95,DE,1627242387,87,50.6833,10.9,68.67,5.03
komatipoort,5,ZA,1627242387,82,-25.4332,31.9548,58.05,2.89
sovetskaya gavan,71,RU,1627242388,95,48.9723,140.2878,67.46,3.0
jining,60,CN,1627242388,81,35.405,116.5814,74.43,3.47
alice springs,40,AU,1627242389,40,-23.7,133.8833,51.35,4.61
lithakia,0,GR,1627242389,50,37.7167,20.8333,79.88,1.14
grand gaube,8,MU,1627242389,60,-20.0064,57.6608,70.2,5.01
awbari,0,LY,1627242389,20,26.5921,12.7805,86.04,10.27
tarakan,86,ID,1627242390,80,3.3,117.6333,80.29,1.19
qui nhon,99,VN,1627242390,68,13.7667,109.2333,81.7,22.37
aquiraz,3,BR,1627242390,73,-3.9014,-38.3911,84.29,12.03
bunesti,21,RO,1627242391,50,46.8333,27.9667,72.84,3.6
saint-louis,45,SN,1627242107,49,16.3333,-15.0,100.04,22.01
ampanihy,50,MG,1627242391,70,-24.7,44.75,60.96,13.22
evensk,100,RU,1627242179,99,61.95,159.2333,48.63,7.23
avera,84,US,1627242391,50,33.194,-82.5271,91.71,4.41
haines junction,98,CA,1627242392,62,60.7522,-137.5108,57.15,1.14
carroll,1,US,1627242392,66,39.5501,-77.0164,91.72,5.99
asau,82,RO,1627242392,84,46.4333,26.4,70.75,2.59
ayan,90,RU,1627242392,94,56.45,138.1667,60.28,1.03
surab,24,PK,1627242393,41,28.4914,66.2585,82.56,3.27
jishou,0,CN,1627242393,90,28.3167,109.7167,73.83,1.43
chengdu,20,CN,1627242393,94,30.6667,104.0667,78.69,2.24
samfya,1,ZM,1627242394,52,-11.3649,29.5565,56.79,13.89
kapoeta,100,SS,1627242394,59,4.7717,33.5903,71.87,15.01
aasiaat,100,GL,1627242394,76,68.7098,-52.8699,40.06,12.08
cabedelo,2,BR,1627242395,79,-6.9811,-34.8339,79.47,13.69
katherine,75,AU,1627242395,77,-14.4667,132.2667,66.52,6.91
traverse city,20,US,1627242395,33,44.7631,-85.6206,87.87,11.5
palu,58,ID,1627242396,93,-0.8917,119.8707,73.98,3.09
bethel,75,US,1627242289,81,41.3712,-73.414,82.02,1.01
khandyga,63,RU,1627242103,94,62.6667,135.6,56.57,2.66
mackay,8,AU,1627242396,87,-21.15,149.2,52.05,4.61
cesis,13,LV,1627242396,70,57.3119,25.2746,66.72,2.68
puerto quijarro,0,BO,1627242397,20,-17.7833,-57.7667,97.39,7.2
kununurra,99,AU,1627242251,82,-15.7667,128.7333,58.98,4.61
weatherford,0,US,1627242397,40,32.7593,-97.7972,100.33,5.08
buraydah,3,SA,1627242397,13,26.326,43.975,102.65,10.71
micheweni,4,TZ,1627242397,72,-4.9667,39.8333,75.65,18.84
harindanga,100,IN,1627242398,81,22.0383,88.3214,84.18,6.53
chokurdakh,1,RU,1627242302,67,70.6333,147.9167,41.11,9.71
saint-georges,20,GD,1627242398,74,12.0564,-61.7485,85.68,17.27
casper,1,US,1627242398,17,42.8666,-106.3131,94.01,5.01
dingle,34,PH,1627242399,89,10.9995,122.6711,77.14,9.69
aguimes,20,ES,1627242399,66,27.9054,-15.4461,72.23,25.32
saint george,6,US,1627242399,34,37.1041,-113.5841,99.63,1.01
mmabatho,0,ZA,1627242400,56,-25.85,25.6333,40.96,3.44
batticaloa,100,LK,1627242400,73,7.7102,81.6924,81.72,8.19
port blair,100,IN,1627242400,86,11.6667,92.75,82.17,16.6
cherskiy,23,RU,1627242400,63,68.75,161.3,45.93,7.2
baherden,0,TM,1627242401,29,38.4362,57.4316,95.22,8.57
amherst,1,US,1627242210,64,41.3978,-82.2224,89.01,1.99
sadiqabad,100,PK,1627242401,40,28.3062,70.1307,99.54,17.98
lasa,67,IT,1627242401,89,46.6166,10.7002,65.28,2.28
namibe,0,AO,1627242402,87,-15.1961,12.1522,66.6,4.92
luderitz,100,NA,1627242109,23,-26.6481,15.1594,67.35,4.76
goundam,14,ML,1627242402,36,16.4145,-3.6708,95.7,4.45
namatanai,95,PG,1627242402,84,-3.6667,152.4333,78.44,1.72
nkwerre,46,NG,1627242403,79,5.7556,7.1063,73.06,4.59
la asuncion,100,VE,1627242312,76,11.0333,-63.8628,81.05,6.51
kavaratti,100,IN,1627242403,79,10.5669,72.642,81.0,21.61
maragogi,19,BR,1627242403,86,-9.0122,-35.2225,74.55,13.42
chifeng,100,CN,1627242159,79,42.2683,118.9636,73.56,6.13
san quintin,100,MX,1627242404,84,30.4833,-115.95,68.38,9.06
ewa beach,40,US,1627242404,67,21.3156,-158.0072,85.95,15.99
turukhansk,19,RU,1627242404,76,65.8167,87.9833,63.48,5.41
itambacuri,0,BR,1627242405,55,-18.0311,-41.685,72.23,9.04
beringovskiy,100,RU,1627242405,90,63.05,179.3167,51.76,1.61
caravelas,29,BR,1627242405,71,-17.7125,-39.2481,71.06,7.83
tarko-sale,100,RU,1627242405,88,64.9225,77.785,59.34,6.13
moerai,81,PF,1627242406,80,-22.4333,-151.3333,73.24,8.12
mocuba,71,MZ,1627242406,82,-16.8392,36.9856,61.18,5.41
portland,1,US,1627242167,47,45.5234,-122.6762,88.63,1.01
matata,100,NZ,1627242406,89,-37.8833,176.75,58.84,18.54
nouadhibou,8,MR,1627242407,88,20.931,-17.0347,71.58,20.71
talara,0,PE,1627242407,73,-4.5772,-81.2719,77.76,14.97
alekseyevsk,87,RU,1627242407,69,57.8406,108.3492,61.23,3.62
swellendam,100,ZA,1627242407,35,-34.0226,20.4417,46.78,6.53
valdivia,63,CL,1627242408,85,-39.8142,-73.2459,50.09,4.56
fez,0,MA,1627242224,36,34.0372,-4.9998,80.85,10.36
puerto lempira,100,HN,1627242408,67,15.2667,-83.7667,84.67,8.61
labuhan,47,ID,1627242409,83,-6.8844,112.2051,72.81,7.47
batemans bay,4,AU,1627242409,62,-35.7167,150.1833,52.2,8.28
alibag,100,IN,1627242409,88,18.6411,72.8792,82.47,19.89
gogaran,87,AM,1627242409,96,40.8926,44.1992,64.24,5.91
necochea,100,AR,1627242410,83,-38.5473,-58.7368,50.04,18.01
chancay,16,PE,1627242410,74,-11.5714,-77.2672,66.07,8.79
chernyshevskiy,25,RU,1627242410,64,63.0128,112.4714,60.24,1.83
urumqi,0,CN,1627242135,26,43.801,87.6005,79.75,6.71
souillac,20,MU,1627242411,64,-20.5167,57.5167,70.18,12.66
yumen,4,CN,1627242411,33,40.2833,97.2,76.3,10.07
stornoway,75,GB,1627242411,94,58.2093,-6.3865,57.92,10.36
yar-sale,51,RU,1627242412,84,66.8333,70.8333,45.52,9.1
luanda,0,AO,1627242188,83,-8.8368,13.2343,71.6,6.91
kaoma,0,ZM,1627242412,45,-14.7833,24.8,54.88,8.08
allapalli,22,IN,1627242412,92,19.4167,80.0667,76.42,4.09
richards bay,0,ZA,1627242413,83,-28.783,32.0377,57.54,6.87
port hedland,95,AU,1627242413,82,-20.3167,118.5667,59.05,5.75
najran,90,SA,1627242133,30,17.4924,44.1277,86.65,4.34
kruisfontein,70,ZA,1627242414,37,-34.0033,24.7314,54.28,5.91
oktyabrskiy,2,RU,1627242414,60,54.4815,53.471,51.13,2.42
koumac,5,NC,1627242414,86,-20.5667,164.2833,68.27,9.24
thanh hoa,98,VN,1627242414,93,19.8,105.7667,78.06,3.96
hanzhong,58,CN,1627242415,92,33.0728,107.0303,71.58,0.65
noumea,66,NC,1627242415,99,-22.2763,166.4572,69.01,6.73
garden city,20,US,1627242415,38,42.3256,-83.331,90.81,10.36
guantanamo,96,CU,1627242416,54,20.1444,-75.2092,87.37,11.16
guajara,86,BR,1627242416,32,-2.9667,-57.6667,95.22,3.69
